id,file,title,teaches,foundation,family
F03-0001,F03_0001.jpg,年輪與受力 · 白橡導管 01,力順著紋走，橫紋是弱向。 白橡導管,Hoadley Understanding Wood / FPL Wood Handbook,rings
F03-0002,F03_0002.jpg,含水率 · 橡膠木均質 02,8-12% 對應室內平衡含水，不是隨便寫。 橡膠木均質,Hoadley Understanding Wood / FPL Wood Handbook,mc
F03-0003,F03_0003.jpg,接合面積 · 松木20mm 03,膠線與榫肩才是節點，釘子只是夾緊。 松木20mm,Eckelman Furniture Strength / Rogowski Joinery,joint
F03-0004,F03_0004.jpg,力流 · 山毛櫸移動 04,進、出、最窄。斷在最窄。 山毛櫸移動,Hibbeler Mechanics of Materials / Gordon Structures,load
F03-0005,F03_0005.jpg,試驗次數 · 胡桃色重 05,家具有自己的循環，不是大樓規範。 胡桃色重,EN 1728 / BIFMA X5.1 / Eckelman,test
F03-0006,F03_0006.jpg,年輪與受力 · 端紋封油 06,力順著紋走，橫紋是弱向。 端紋封油,Hoadley Understanding Wood / FPL Wood Handbook,rings
F03-0007,F03_0007.jpg,含水率 · 徑切 vs 弦切 07,8-12% 對應室內平衡含水，不是隨便寫。 徑切 vs 弦切,Hoadley Understanding Wood / FPL Wood Handbook,mc
F03-0008,F03_0008.jpg,接合面積 · 節疤避開受拉 08,膠線與榫肩才是節點，釘子只是夾緊。 節疤避開受拉,Eckelman Furniture Strength / Rogowski Joinery,joint
F03-0009,F03_0009.jpg,力流 · 層積順紋 09,進、出、最窄。斷在最窄。 層積順紋,Hibbeler Mechanics of Materials / Gordon Structures,load
F03-0010,F03_0010.jpg,試驗次數 · 指接接頭 10,家具有自己的循環，不是大樓規範。 指接接頭,EN 1728 / BIFMA X5.1 / Eckelman,test
F03-0011,F03_0011.jpg,年輪與受力 · 圓榫 H7 11,力順著紋走，橫紋是弱向。 圓榫 H7,Hoadley Understanding Wood / FPL Wood Handbook,rings
F03-0012,F03_0012.jpg,含水率 · Domino 12,8-12% 對應室內平衡含水，不是隨便寫。 Domino,Hoadley Understanding Wood / FPL Wood Handbook,mc
F03-0013,F03_0013.jpg,接合面積 · 螺紋牙對橫紋 13,膠線與榫肩才是節點，釘子只是夾緊。 螺紋牙對橫紋,Eckelman Furniture Strength / Rogowski Joinery,joint
F03-0014,F03_0014.jpg,力流 · 軸承鎖 14,進、出、最窄。斷在最窄。 軸承鎖,Hibbeler Mechanics of Materials / Gordon Structures,load
F03-0015,F03_0015.jpg,試驗次數 · 牆扣路徑 15,家具有自己的循環，不是大樓規範。 牆扣路徑,EN 1728 / BIFMA X5.1 / Eckelman,test
F03-0016,F03_0016.jpg,年輪與受力 · 前舌不懸臂 16,力順著紋走，橫紋是弱向。 前舌不懸臂,Hoadley Understanding Wood / FPL Wood Handbook,rings
