id,file,title,teaches,foundation,family
F02-0001,F02_0001.jpg,座高訓練 01,座面離地。lounge 常 380-420，餐椅 430-460。,Tilley Measure of Man / Pheasant Bodyspace,human-seat
F02-0002,F02_0002.jpg,座深訓練 02,有效座深過長，小個子膝窩會頂到。,Panero Human Dimension / Pheasant Bodyspace,human-depth
F02-0003,F02_0003.jpg,伸手訓練 03,掛衣、層板、畫具要對到第5百分位小孩與第95成人。,Tilley Measure of Man / Cranz The Chair,human-reach
F02-0004,F02_0004.jpg,後傾訓練 04,休閒椅靠背 18-22°，不是餐椅正坐。,Cranz The Chair / Postell Furniture Design,human-rake
F02-0005,F02_0005.jpg,座高訓練 05,座面離地。lounge 常 380-420，餐椅 430-460。,Tilley Measure of Man / Pheasant Bodyspace,human-seat
F02-0006,F02_0006.jpg,座深訓練 06,有效座深過長，小個子膝窩會頂到。,Panero Human Dimension / Pheasant Bodyspace,human-depth
F02-0007,F02_0007.jpg,伸手訓練 07,掛衣、層板、畫具要對到第5百分位小孩與第95成人。,Tilley Measure of Man / Cranz The Chair,human-reach
F02-0008,F02_0008.jpg,後傾訓練 08,休閒椅靠背 18-22°，不是餐椅正坐。,Cranz The Chair / Postell Furniture Design,human-rake
F02-0009,F02_0009.jpg,座高訓練 09,座面離地。lounge 常 380-420，餐椅 430-460。,Tilley Measure of Man / Pheasant Bodyspace,human-seat
F02-0010,F02_0010.jpg,座深訓練 10,有效座深過長，小個子膝窩會頂到。,Panero Human Dimension / Pheasant Bodyspace,human-depth
F02-0011,F02_0011.jpg,伸手訓練 11,掛衣、層板、畫具要對到第5百分位小孩與第95成人。,Tilley Measure of Man / Cranz The Chair,human-reach
F02-0012,F02_0012.jpg,後傾訓練 12,休閒椅靠背 18-22°，不是餐椅正坐。,Cranz The Chair / Postell Furniture Design,human-rake
F02-0013,F02_0013.jpg,座高訓練 13,座面離地。lounge 常 380-420，餐椅 430-460。,Tilley Measure of Man / Pheasant Bodyspace,human-seat
F02-0014,F02_0014.jpg,座深訓練 14,有效座深過長，小個子膝窩會頂到。,Panero Human Dimension / Pheasant Bodyspace,human-depth
F02-0015,F02_0015.jpg,伸手訓練 15,掛衣、層板、畫具要對到第5百分位小孩與第95成人。,Tilley Measure of Man / Cranz The Chair,human-reach
F02-0016,F02_0016.jpg,後傾訓練 16,休閒椅靠背 18-22°，不是餐椅正坐。,Cranz The Chair / Postell Furniture Design,human-rake
F02-0017,F02_0017.jpg,座高訓練 17,座面離地。lounge 常 380-420，餐椅 430-460。,Tilley Measure of Man / Pheasant Bodyspace,human-seat
F02-0018,F02_0018.jpg,座深訓練 18,有效座深過長，小個子膝窩會頂到。,Panero Human Dimension / Pheasant Bodyspace,human-depth
F02-0019,F02_0019.jpg,伸手訓練 19,掛衣、層板、畫具要對到第5百分位小孩與第95成人。,Tilley Measure of Man / Cranz The Chair,human-reach
F02-0020,F02_0020.jpg,後傾訓練 20,休閒椅靠背 18-22°，不是餐椅正坐。,Cranz The Chair / Postell Furniture Design,human-rake
F02-0021,F02_0021.jpg,座高訓練 21,座面離地。lounge 常 380-420，餐椅 430-460。,Tilley Measure of Man / Pheasant Bodyspace,human-seat
F02-0022,F02_0022.jpg,座深訓練 22,有效座深過長，小個子膝窩會頂到。,Panero Human Dimension / Pheasant Bodyspace,human-depth
F02-0023,F02_0023.jpg,伸手訓練 23,掛衣、層板、畫具要對到第5百分位小孩與第95成人。,Tilley Measure of Man / Cranz The Chair,human-reach
F02-0024,F02_0024.jpg,後傾訓練 24,休閒椅靠背 18-22°，不是餐椅正坐。,Cranz The Chair / Postell Furniture Design,human-rake
F02-0025,F02_0025.jpg,座高訓練 25,座面離地。lounge 常 380-420，餐椅 430-460。,Tilley Measure of Man / Pheasant Bodyspace,human-seat
F02-0026,F02_0026.jpg,座深訓練 26,有效座深過長，小個子膝窩會頂到。,Panero Human Dimension / Pheasant Bodyspace,human-depth
F02-0027,F02_0027.jpg,伸手訓練 27,掛衣、層板、畫具要對到第5百分位小孩與第95成人。,Tilley Measure of Man / Cranz The Chair,human-reach
F02-0028,F02_0028.jpg,後傾訓練 28,休閒椅靠背 18-22°，不是餐椅正坐。,Cranz The Chair / Postell Furniture Design,human-rake
F02-0029,F02_0029.jpg,座高訓練 29,座面離地。lounge 常 380-420，餐椅 430-460。,Tilley Measure of Man / Pheasant Bodyspace,human-seat
F02-0030,F02_0030.jpg,座深訓練 30,有效座深過長，小個子膝窩會頂到。,Panero Human Dimension / Pheasant Bodyspace,human-depth
F02-0031,F02_0031.jpg,伸手訓練 31,掛衣、層板、畫具要對到第5百分位小孩與第95成人。,Tilley Measure of Man / Cranz The Chair,human-reach
F02-0032,F02_0032.jpg,後傾訓練 32,休閒椅靠背 18-22°，不是餐椅正坐。,Cranz The Chair / Postell Furniture Design,human-rake
F02-0033,F02_0033.jpg,座高訓練 33,座面離地。lounge 常 380-420，餐椅 430-460。,Tilley Measure of Man / Pheasant Bodyspace,human-seat
F02-0034,F02_0034.jpg,座深訓練 34,有效座深過長，小個子膝窩會頂到。,Panero Human Dimension / Pheasant Bodyspace,human-depth
F02-0035,F02_0035.jpg,伸手訓練 35,掛衣、層板、畫具要對到第5百分位小孩與第95成人。,Tilley Measure of Man / Cranz The Chair,human-reach
F02-0036,F02_0036.jpg,後傾訓練 36,休閒椅靠背 18-22°，不是餐椅正坐。,Cranz The Chair / Postell Furniture Design,human-rake
F02-0037,F02_0037.jpg,座高訓練 37,座面離地。lounge 常 380-420，餐椅 430-460。,Tilley Measure of Man / Pheasant Bodyspace,human-seat
F02-0038,F02_0038.jpg,座深訓練 38,有效座深過長，小個子膝窩會頂到。,Panero Human Dimension / Pheasant Bodyspace,human-depth
F02-0039,F02_0039.jpg,伸手訓練 39,掛衣、層板、畫具要對到第5百分位小孩與第95成人。,Tilley Measure of Man / Cranz The Chair,human-reach
F02-0040,F02_0040.jpg,後傾訓練 40,休閒椅靠背 18-22°，不是餐椅正坐。,Cranz The Chair / Postell Furniture Design,human-rake
F02-0041,F02_0041.jpg,座高訓練 41,座面離地。lounge 常 380-420，餐椅 430-460。,Tilley Measure of Man / Pheasant Bodyspace,human-seat
F02-0042,F02_0042.jpg,座深訓練 42,有效座深過長，小個子膝窩會頂到。,Panero Human Dimension / Pheasant Bodyspace,human-depth
F02-0043,F02_0043.jpg,伸手訓練 43,掛衣、層板、畫具要對到第5百分位小孩與第95成人。,Tilley Measure of Man / Cranz The Chair,human-reach
F02-0044,F02_0044.jpg,後傾訓練 44,休閒椅靠背 18-22°，不是餐椅正坐。,Cranz The Chair / Postell Furniture Design,human-rake
F02-0045,F02_0045.jpg,座高訓練 45,座面離地。lounge 常 380-420，餐椅 430-460。,Tilley Measure of Man / Pheasant Bodyspace,human-seat
F02-0046,F02_0046.jpg,座深訓練 46,有效座深過長，小個子膝窩會頂到。,Panero Human Dimension / Pheasant Bodyspace,human-depth
F02-0047,F02_0047.jpg,伸手訓練 47,掛衣、層板、畫具要對到第5百分位小孩與第95成人。,Tilley Measure of Man / Cranz The Chair,human-reach
F02-0048,F02_0048.jpg,後傾訓練 48,休閒椅靠背 18-22°，不是餐椅正坐。,Cranz The Chair / Postell Furniture Design,human-rake
F02-0049,F02_0049.jpg,座高訓練 49,座面離地。lounge 常 380-420，餐椅 430-460。,Tilley Measure of Man / Pheasant Bodyspace,human-seat
F02-0050,F02_0050.jpg,座深訓練 50,有效座深過長，小個子膝窩會頂到。,Panero Human Dimension / Pheasant Bodyspace,human-depth
F02-0051,F02_0051.jpg,伸手訓練 51,掛衣、層板、畫具要對到第5百分位小孩與第95成人。,Tilley Measure of Man / Cranz The Chair,human-reach
F02-0052,F02_0052.jpg,後傾訓練 52,休閒椅靠背 18-22°，不是餐椅正坐。,Cranz The Chair / Postell Furniture Design,human-rake
