role,n,file,title,foundation
02,1,F02_0001.jpg,座高訓練 01,Tilley Measure of Man / Pheasant Bodyspace
02,2,F02_0002.jpg,座深訓練 02,Panero Human Dimension / Pheasant Bodyspace
02,3,F02_0003.jpg,伸手訓練 03,Tilley Measure of Man / Cranz The Chair
02,4,F02_0004.jpg,後傾訓練 04,Cranz The Chair / Postell Furniture Design
02,5,F02_0005.jpg,座高訓練 05,Tilley Measure of Man / Pheasant Bodyspace
02,6,F02_0006.jpg,座深訓練 06,Panero Human Dimension / Pheasant Bodyspace
02,7,F02_0007.jpg,伸手訓練 07,Tilley Measure of Man / Cranz The Chair
02,8,F02_0008.jpg,後傾訓練 08,Cranz The Chair / Postell Furniture Design
02,9,F02_0009.jpg,座高訓練 09,Tilley Measure of Man / Pheasant Bodyspace
02,10,F02_0010.jpg,座深訓練 10,Panero Human Dimension / Pheasant Bodyspace
02,11,F02_0011.jpg,伸手訓練 11,Tilley Measure of Man / Cranz The Chair
02,12,F02_0012.jpg,後傾訓練 12,Cranz The Chair / Postell Furniture Design
02,13,F02_0013.jpg,座高訓練 13,Tilley Measure of Man / Pheasant Bodyspace
02,14,F02_0014.jpg,座深訓練 14,Panero Human Dimension / Pheasant Bodyspace
02,15,F02_0015.jpg,伸手訓練 15,Tilley Measure of Man / Cranz The Chair
02,16,F02_0016.jpg,後傾訓練 16,Cranz The Chair / Postell Furniture Design
02,17,F02_0017.jpg,座高訓練 17,Tilley Measure of Man / Pheasant Bodyspace
02,18,F02_0018.jpg,座深訓練 18,Panero Human Dimension / Pheasant Bodyspace
02,19,F02_0019.jpg,伸手訓練 19,Tilley Measure of Man / Cranz The Chair
02,20,F02_0020.jpg,後傾訓練 20,Cranz The Chair / Postell Furniture Design
02,21,F02_0021.jpg,座高訓練 21,Tilley Measure of Man / Pheasant Bodyspace
02,22,F02_0022.jpg,座深訓練 22,Panero Human Dimension / Pheasant Bodyspace
02,23,F02_0023.jpg,伸手訓練 23,Tilley Measure of Man / Cranz The Chair
02,24,F02_0024.jpg,後傾訓練 24,Cranz The Chair / Postell Furniture Design
02,25,F02_0025.jpg,座高訓練 25,Tilley Measure of Man / Pheasant Bodyspace
02,26,F02_0026.jpg,座深訓練 26,Panero Human Dimension / Pheasant Bodyspace
02,27,F02_0027.jpg,伸手訓練 27,Tilley Measure of Man / Cranz The Chair
02,28,F02_0028.jpg,後傾訓練 28,Cranz The Chair / Postell Furniture Design
02,29,F02_0029.jpg,座高訓練 29,Tilley Measure of Man / Pheasant Bodyspace
02,30,F02_0030.jpg,座深訓練 30,Panero Human Dimension / Pheasant Bodyspace
02,31,F02_0031.jpg,伸手訓練 31,Tilley Measure of Man / Cranz The Chair
02,32,F02_0032.jpg,後傾訓練 32,Cranz The Chair / Postell Furniture Design
02,33,F02_0033.jpg,座高訓練 33,Tilley Measure of Man / Pheasant Bodyspace
02,34,F02_0034.jpg,座深訓練 34,Panero Human Dimension / Pheasant Bodyspace
02,35,F02_0035.jpg,伸手訓練 35,Tilley Measure of Man / Cranz The Chair
02,36,F02_0036.jpg,後傾訓練 36,Cranz The Chair / Postell Furniture Design
02,37,F02_0037.jpg,座高訓練 37,Tilley Measure of Man / Pheasant Bodyspace
02,38,F02_0038.jpg,座深訓練 38,Panero Human Dimension / Pheasant Bodyspace
02,39,F02_0039.jpg,伸手訓練 39,Tilley Measure of Man / Cranz The Chair
02,40,F02_0040.jpg,後傾訓練 40,Cranz The Chair / Postell Furniture Design
02,41,F02_0041.jpg,座高訓練 41,Tilley Measure of Man / Pheasant Bodyspace
02,42,F02_0042.jpg,座深訓練 42,Panero Human Dimension / Pheasant Bodyspace
02,43,F02_0043.jpg,伸手訓練 43,Tilley Measure of Man / Cranz The Chair
02,44,F02_0044.jpg,後傾訓練 44,Cranz The Chair / Postell Furniture Design
02,45,F02_0045.jpg,座高訓練 45,Tilley Measure of Man / Pheasant Bodyspace
02,46,F02_0046.jpg,座深訓練 46,Panero Human Dimension / Pheasant Bodyspace
02,47,F02_0047.jpg,伸手訓練 47,Tilley Measure of Man / Cranz The Chair
02,48,F02_0048.jpg,後傾訓練 48,Cranz The Chair / Postell Furniture Design
02,49,F02_0049.jpg,座高訓練 49,Tilley Measure of Man / Pheasant Bodyspace
02,50,F02_0050.jpg,座深訓練 50,Panero Human Dimension / Pheasant Bodyspace
02,51,F02_0051.jpg,伸手訓練 51,Tilley Measure of Man / Cranz The Chair
02,52,F02_0052.jpg,後傾訓練 52,Cranz The Chair / Postell Furniture Design
02,53,F02_0053.jpg,座高訓練 53,Tilley Measure of Man / Pheasant Bodyspace
02,54,F02_0054.jpg,座深訓練 54,Panero Human Dimension / Pheasant Bodyspace
02,55,F02_0055.jpg,伸手訓練 55,Tilley Measure of Man / Cranz The Chair
02,56,F02_0056.jpg,後傾訓練 56,Cranz The Chair / Postell Furniture Design
02,57,F02_0057.jpg,座高訓練 57,Tilley Measure of Man / Pheasant Bodyspace
02,58,F02_0058.jpg,座深訓練 58,Panero Human Dimension / Pheasant Bodyspace
02,59,F02_0059.jpg,伸手訓練 59,Tilley Measure of Man / Cranz The Chair
02,60,F02_0060.jpg,後傾訓練 60,Cranz The Chair / Postell Furniture Design
02,61,F02_0061.jpg,座高訓練 61,Tilley Measure of Man / Pheasant Bodyspace
02,62,F02_0062.jpg,座深訓練 62,Panero Human Dimension / Pheasant Bodyspace
02,63,F02_0063.jpg,伸手訓練 63,Tilley Measure of Man / Cranz The Chair
02,64,F02_0064.jpg,後傾訓練 64,Cranz The Chair / Postell Furniture Design
02,65,F02_0065.jpg,座高訓練 65,Tilley Measure of Man / Pheasant Bodyspace
02,66,F02_0066.jpg,座深訓練 66,Panero Human Dimension / Pheasant Bodyspace
02,67,F02_0067.jpg,伸手訓練 67,Tilley Measure of Man / Cranz The Chair
02,68,F02_0068.jpg,後傾訓練 68,Cranz The Chair / Postell Furniture Design
02,69,F02_0069.jpg,座高訓練 69,Tilley Measure of Man / Pheasant Bodyspace
02,70,F02_0070.jpg,座深訓練 70,Panero Human Dimension / Pheasant Bodyspace
02,71,F02_0071.jpg,伸手訓練 71,Tilley Measure of Man / Cranz The Chair
02,72,F02_0072.jpg,後傾訓練 72,Cranz The Chair / Postell Furniture Design
02,73,F02_0073.jpg,座高訓練 73,Tilley Measure of Man / Pheasant Bodyspace
02,74,F02_0074.jpg,座深訓練 74,Panero Human Dimension / Pheasant Bodyspace
02,75,F02_0075.jpg,伸手訓練 75,Tilley Measure of Man / Cranz The Chair
02,76,F02_0076.jpg,後傾訓練 76,Cranz The Chair / Postell Furniture Design
02,77,F02_0077.jpg,座高訓練 77,Tilley Measure of Man / Pheasant Bodyspace
02,78,F02_0078.jpg,座深訓練 78,Panero Human Dimension / Pheasant Bodyspace
02,79,F02_0079.jpg,伸手訓練 79,Tilley Measure of Man / Cranz The Chair
02,80,F02_0080.jpg,後傾訓練 80,Cranz The Chair / Postell Furniture Design
02,81,F02_0081.jpg,控制線 01,Ching Form Space and Order
02,82,F02_0082.jpg,比例校核 02,Wong Principles of Form / Rams Less but Better
02,83,F02_0083.jpg,倒圓 03,Pye Workmanship / Norman Everyday Things
02,84,F02_0084.jpg,木色家族 04,Itten Art of Color / Albers Interaction of Color
02,85,F02_0085.jpg,場景尺度 05,Ching Interior Design Illustrated / Alexander Pattern Language
02,86,F02_0086.jpg,控制線 06,Ching Form Space and Order
02,87,F02_0087.jpg,比例校核 07,Wong Principles of Form / Rams Less but Better
02,88,F02_0088.jpg,倒圓 08,Pye Workmanship / Norman Everyday Things
02,89,F02_0089.jpg,木色家族 09,Itten Art of Color / Albers Interaction of Color
02,90,F02_0090.jpg,場景尺度 10,Ching Interior Design Illustrated / Alexander Pattern Language
02,91,F02_0091.jpg,控制線 11,Ching Form Space and Order
02,92,F02_0092.jpg,比例校核 12,Wong Principles of Form / Rams Less but Better
02,93,F02_0093.jpg,倒圓 13,Pye Workmanship / Norman Everyday Things
02,94,F02_0094.jpg,木色家族 14,Itten Art of Color / Albers Interaction of Color
02,95,F02_0095.jpg,場景尺度 15,Ching Interior Design Illustrated / Alexander Pattern Language
02,96,F02_0096.jpg,控制線 16,Ching Form Space and Order
02,97,F02_0097.jpg,比例校核 17,Wong Principles of Form / Rams Less but Better
