id,file,title,teaches,foundation,family
F04-0001,F04_0001.jpg,四段工序 · 含水進料 01,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0002,F04_0002.jpg,刀具 · 養料天數 02,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0003,F04_0003.jpg,刀路 · 對色 03,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0004,F04_0004.jpg,治具 · OP1基準 04,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0005,F04_0005.jpg,包材 · 真空吸盤 05,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0006,F04_0006.jpg,四段工序 · 陰模 06,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0007,F04_0007.jpg,刀具 · sweep 07,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0008,F04_0008.jpg,刀路 · 球刀 08,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0009,F04_0009.jpg,治具 · 清根 09,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0010,F04_0010.jpg,包材 · 砂光工時 10,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0011,F04_0011.jpg,四段工序 · 硬質油 11,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0012,F04_0012.jpg,刀具 · EN71-3 12,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0013,F04_0013.jpg,刀路 · 導管填孔 13,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0014,F04_0014.jpg,治具 · 拆裝說明 14,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0015,F04_0015.jpg,包材 · EPE厚度 15,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0016,F04_0016.jpg,四段工序 · 五軸±40 16,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0017,F04_0017.jpg,刀具 · BACCI行程 17,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0018,F04_0018.jpg,刀路 · 鑽模55度 18,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0019,F04_0019.jpg,治具 · 板式套裁 19,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0020,F04_0020.jpg,包材 · 換線 20,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0021,F04_0021.jpg,四段工序 · 粉塵 21,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0022,F04_0022.jpg,刀具 · VOC 22,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0023,F04_0023.jpg,刀路 · 抽檢 23,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0024,F04_0024.jpg,治具 · 出廠攤治具 24,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0025,F04_0025.jpg,包材 · 客訴回饋 25,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0026,F04_0026.jpg,四段工序 · 含水進料 26,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0027,F04_0027.jpg,刀具 · 養料天數 27,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0028,F04_0028.jpg,刀路 · 對色 28,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0029,F04_0029.jpg,治具 · OP1基準 29,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0030,F04_0030.jpg,包材 · 真空吸盤 30,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0031,F04_0031.jpg,四段工序 · 陰模 31,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0032,F04_0032.jpg,刀具 · sweep 32,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0033,F04_0033.jpg,刀路 · 球刀 33,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0034,F04_0034.jpg,治具 · 清根 34,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0035,F04_0035.jpg,包材 · 砂光工時 35,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0036,F04_0036.jpg,四段工序 · 硬質油 36,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0037,F04_0037.jpg,刀具 · EN71-3 37,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0038,F04_0038.jpg,刀路 · 導管填孔 38,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0039,F04_0039.jpg,治具 · 拆裝說明 39,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0040,F04_0040.jpg,包材 · EPE厚度 40,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
