id,role,role_zh,author,title,year_note,legal,foundation_layer,trains,why_zh
1,02,外型,Postell Jim,Furniture Design,Wiley,buy,手與木,家具設計全本,把類型、人體、結構、製程寫在同一本書裡，外型職位的入門教科書
2,02,外型,Cranz Galen,The Chair: Rethinking Culture Body and Design,Norton,buy,人,椅子與身體,告訴你椅子失敗常常是文化假設錯了，不是線條不夠美
3,02,外型,Tilley Alvin R. / Henry Dreyfuss Associates,The Measure of Man and Woman,Wiley,buy,人,人體尺度圖,工業設計人體尺度的根源圖冊，座高扶手伸手從這裡來
4,02,外型,Panero Julius / Zelnik Martin,Human Dimension and Interior Space,Whitney,buy,人,室內與家具淨空,空間裡的人：通道、桌下、櫃前，場景圖用這本核
5,02,外型,Pheasant Stephen / Haslegrave Christine,Bodyspace,CRC,buy,人,工作與座椅人因,人體測量學寫得最清楚的一本，百分位怎麼用
6,02,外型,Norman Don,The Design of Everyday Things,Basic Books,buy,看,可用性,好看但用錯，是外型失職。對應複查助理
7,02,外型,Lidwell William et al.,Universal Principles of Design,Rockport,buy,看,125條設計原則,接近、對齊、預設、回饋，審圖用
8,02,外型,Ching Francis D.K.,Architecture: Form Space and Order,Wiley,buy,看,形體與空間秩序,控制線、軸線、虛實，外形分析的根
9,02,外型,Ching Francis D.K.,Interior Design Illustrated,Wiley,buy,看,室內尺度作圖,場景透視與家具佔地
10,02,外型,Itten Johannes,The Art of Color,Wiley,buy,看,色彩對比,木色與布色怎麼配，不要只靠感覺
11,02,外型,Albers Josef,Interaction of Color,Yale,buy,看,顏色互動,同一橡木在冷暖光下為什麼不像
12,02,外型,Wong Wucius,Principles of Form and Design,Van Nostrand,buy,看,平面構成,重複、節奏、平衡，陣列與模數
13,02,外型,Habegger Jerryll / Osman Joseph H.,Sourcebook of Modern Furniture,Norton,buy,看,現代家具譜系,知道 Wegner / Aalto / Eames 差在哪，才不會亂抄
14,02,外型,Fiell Charlotte & Peter,1000 Chairs,Taschen,buy,看,椅型圖鑑,類型學眼睛體操
15,02,外型,Olivares Jonathan,A Taxonomy of Office Chairs,Phaidon,buy,看,辦公椅分類,機構與外殼怎麼分類
16,02,外型,Fiell Charlotte & Peter,Industrial Design A-Z,Taschen,buy,看,工業設計年表,風格定位用
17,02,外型,Sparke Penny,Furniture,Oxford,buy,看,家具簡史,給客戶講故事時有據
18,02,外型,Pile John,A History of Interior Design,Wiley,buy,看,室內史,場景要像哪個時代
19,02,外型,Heskett John,Industrial Design,Thames & Hudson,buy,看,工設是什麼,外型職位的職業史
20,02,外型,Pye David,The Nature and Art of Workmanship,Cambridge / Bloomsbury,buy,手與木,工藝品質,自由工藝 vs 規定工藝，解釋為什麼手砂不能省
21,02,外型,Pye David,The Nature and Aesthetics of Design,Bloomsbury,buy,手與木,設計美學,功能美不是裝飾
22,02,外型,Rams Dieter / Klemp Klaus,Less but Better,Gestalten,buy,看,十項原則,誠實、長壽、不搶戲
23,02,外型,Munari Bruno,Design as Art,Penguin,buy,看,觀察,把日常看成設計問題
24,02,外型,Lawson Bryan,How Designers Think,Architectural Press,buy,看,設計思考過程,外型怎麼收斂方案
25,02,外型,Cross Nigel,Design Thinking,Berg,buy,看,設計認知,草圖為什麼有效
26,02,外型,Pallasmaa Juhani,The Eyes of the Skin,Wiley,buy,手與木,觸覺空間,家具是給身體的，不是給相機的
27,02,外型,Tanizaki Junichiro,In Praise of Shadows,Leete's Island,buy,看,陰影與材料,木器要留陰影，不要一片亮
28,02,外型,Nakashima George,The Soul of a Tree,Kodansha,buy,手與木,木之魂,板向、節疤、順紋的倫理
29,02,外型,Krenov James,A Cabinetmaker's Notebook,Linden,buy,手與木,櫃匠筆記,細節決定氣質
30,02,外型,Sudjic Deyan,The Language of Things,Penguin,buy,看,物件語言,品牌與符號，BjM 字標為什麼要克制
31,02,外型,Forty Adrian,Objects of Desire,Thames & Hudson,buy,看,慾望與設計史,避免為新而新
32,02,外型,Papanek Victor,Design for the Real World,Thames & Hudson,buy,人,真實世界,傾倒、夾手、兒童安全是倫理不是配件
33,02,外型,Alexander Christopher,A Pattern Language,Oxford,buy,看,模式語言,客廳角落、玄關掛衣是模式不是風格
34,02,外型,Thompson Rob,Manufacturing Processes for Design Professionals,Thames & Hudson,buy,手與木,設計者看製程,外型選形前先知道做不做得動
35,03,結構材料,Hoadley R. Bruce,Understanding Wood,Taunton,buy,木材,木材入門聖經,紋理、含水、乾縮、強度，結構職位第一本
36,03,結構材料,Hoadley R. Bruce,Identifying Wood,Taunton,buy,木材,認木材,顯微與巨觀認種，進料驗收
37,03,結構材料,Forest Products Laboratory,Wood Handbook Wood as an Engineering Material FPL-GTR-282,USDA,PUBLIC,木材,工程木材手冊,可合法下載。強度表、含水、耐久的根
38,03,結構材料,Dinwoodie J.M.,Timber: Its Nature and Behaviour,Spon,buy,木材,木材行為,學術上把濕度與力學連在一起
39,03,結構材料,Bodig Jozsef / Jayne Benjamin A.,Mechanics of Wood and Wood Composites,Krieger,buy,力,木材力學,各向異性怎麼算
40,03,結構材料,Kollmann Franz / Cote Wilfred,Principles of Wood Science and Technology,Springer,buy,木材,木材科學經典,細胞到板材
41,03,結構材料,Tsoumis George,Science and Technology of Wood,Van Nostrand,buy,木材,木材科技,結構與加工性質
42,03,結構材料,Desch H.E. / Dinwoodie J.M.,Timber Structure Properties Conversion and Use,Macmillan,buy,木材,製材與用途,從原木到家具料
43,03,結構材料,Rowell Roger M.,Handbook of Wood Chemistry and Wood Composites,CRC,buy,木材,木材化學與複合,膠合、改質、甲醛
44,03,結構材料,Eckelman Carl A.,Textbook of Product Engineering and Strength Design of Furniture,Purdue,buy,家具試驗,家具強度設計,椅子櫃體節點怎麼算，本職位核心
45,03,結構材料,Smardzewski Jerzy,Furniture Design and Engineering,Springer,buy,家具試驗,家具工程,歐洲體系的家具結構
46,03,結構材料,American Wood Council,NDS National Design Specification for Wood Construction,AWC,buy,力,木結構設計規範,容許應力與調整係數
47,03,結構材料,CEN,EN 1995-1-1 Eurocode 5 Design of timber structures,CEN,buy,力,歐規木結構,出口歐盟時的語言
48,03,結構材料,CEN,EN 1728 / EN 12520 Furniture seating strength and durability,CEN,buy,家具試驗,家用椅試驗,坐椅怎麼測，不是用感覺
49,03,結構材料,BIFMA,BIFMA X5.1 Office Seating,BIFMA,buy,家具試驗,辦公椅試驗,若做辦公系列必備
50,03,結構材料,ISO,ISO 7170 Furniture storage units test methods,ISO,buy,家具試驗,儲物試驗,櫃、層板、掛衣桿用這個家族
51,03,結構材料,Ashby Michael F.,Materials Selection in Mechanical Design,Butterworth-Heinemann,buy,力,選材圖,楊氏模量—密度圖，為什麼用木不用鋁
52,03,結構材料,Ashby Michael / Johnson Kara,Materials and Design,Butterworth-Heinemann,buy,力,材料與感官,強度之外的觸感與視覺
