項次,料號,名稱,類別,規格／材質,毛坯／用量,數量,單位,來源,金額低,金額中,金額高,備註
1,WAVE-A01,左殼（扶手＋側腹＋左前舌＋左後踵）,結構木材,歐洲／美國白橡 層積實木，單層 22–28 mm，順紋沿緞帶,毛坯 500 × 900 × 220,1,件,自製,4800,6200,8200,含水率 8–10%；5 軸 OP1–OP3；最薄緣 ≥22 mm
2,WAVE-B01,右殼（與 A01 對稱）,結構木材,同 A01，成對選料、色號一致,毛坯 500 × 900 × 220,1,件,自製,4800,6200,8200,與 A01 同批出材，避免左右色差
3,WAVE-C01,座盆／脊板,結構木材,白橡層積，盆底等效厚 ≥32 mm,毛坯 560 × 620 × 80,1,件,自製,1100,1500,2100,止口 8–10 mm 與 A/B 對接；軟包完全遮縫
4,WAVE-W09,色差備料／補片（同批）,結構木材,白橡，與主材同批、同含水,約 0.020 m³,1,批,自製,700,1000,1400,薄緣崩缺、端紋補片用；小量備料係數 1.15
5,WAVE-J01,圓榫／鬆榫,接合件,山毛櫸 Ø8 × 40，或 Domino 8×50（結構節點改 14×75）,—,18,支,外購,80,150,280,間距 80–110 mm；銷孔 H7，位置 ±0.08
6,WAVE-J02,對位銷（組裝治具用，成品不留）,接合件,鋼銷 Ø8 h6，或工藝孔內木銷後切掉,—,4,支,外購,20,40,60,僅組裝；成品不可外露
7,WAVE-H01,隱藏調整腳墊,五金,Ø20–25 mm，M8 牙，調程 ±3 mm，底附氈,—,4,顆,外購,80,120,200,消化接地平面度 0.5 mm／全長
8,WAVE-H02,防刮氈墊（備用）,五金,Ø25 自黏羊毛氈，厚 3 mm,—,4,片,外購,10,20,40,若 H01 已附氈可省略
9,WAVE-H03,軟包定位（魔鬼氈或暗銷）,五金,3M Dual Lock 或 Ø6 木暗銷 4 點,—,1,套,外購,30,60,120,坐墊可拆洗；不可用外露螺絲
10,WAVE-G01,層積膠,膠合,EPI 或 PVAc D4，實木層積,約 0.80 kg／椅,0.8,kg,外購,140,200,280,層間交錯年輪；加壓養護 ≥4 h
11,WAVE-G02,結構組裝膠,膠合,室溫環氧或高固形 PU（端紋／止口）,約 80 g／椅,0.08,kg,外購,80,140,220,白膠不建議用於端紋對接
12,WAVE-G03,填孔劑（橡木導管）,膠合,油性／水性木紋填孔，淺橡色,約 40 g／椅,0.04,kg,外購,30,50,80,開放漆或硬質油前使用
13,WAVE-F01,硬質油／硬蠟油,塗裝,Osmo / Rubio 類，原色或白橡透明,約 150–180 ml／椅（2–3 遍）,0.17,L,外購,180,280,420,薄緣避免厚 PU；端紋先封
14,WAVE-F02,砂紙耗材,塗裝,80 / 120 / 180 / 240 / 320，布基＋海綿砂,約 8–12 張等效,1,套,外購,70,110,180,CNC 留砂光餘量 0.25–0.35 mm
15,WAVE-F03,拋光布／吸塵耗材,塗裝,無紡布、黏塵布,—,1,套,外購,20,35,60,上油前必須無粉塵
16,WAVE-U01,成型坐墊泡棉,軟包,冷熟成型 HR，55–70 kg/m³，厚 60–90 mm,依座盆陰模,1,件,外購,600,1100,1800,打樣可 CNC 切割泡棉；小量建議開模
17,WAVE-U02,靠背成型泡棉,軟包,同 U01，可與坐墊一體或分件,依靠背內曲面,1,件,外購,500,900,1500,腰椎曲線做在泡棉，不做在木殼
18,WAVE-U03,表布／皮革,軟包,頭層牛皮約 1.0 m²，或超纖 1.3 m,含損耗,1,套,外購,800,2800,5200,低配超纖；中高配頭層；色號與木殼對樣
19,WAVE-U04,底布＋襯材,軟包,無紡布、定型棉 120–200 g、暗拉鍊 #5,—,1,套,外購,80,150,260,外輪廓退木唇 8–12 mm
20,WAVE-P01,外箱,包裝,BC 楞，內徑約 1020 × 1080 × 900（整椅出貨）,—,1,只,外購,160,230,320,若 A/B 拆裝出貨可改 2 箱縮小
21,WAVE-P02,EPE／護角,包裝,EPE 20–30 mm ＋ 紙護角,—,1,套,外購,70,110,180,薄緣與前舌必須獨立保護
22,WAVE-P03,PE袋、乾燥劑、銘牌、說明書,包裝,防塵袋＋10 g 乾燥劑×2＋金屬／木銘牌,—,1,套,外購,40,70,140,銘牌藏於盆底或後踵內側
23,WAVE-T01,內盆陰模治具（MDF／PU）,工裝攤提,OP3 翻面吸附／定位,1 套,0.1,套,自製,800,1400,2200,治具總價約 8–20k，按 10 件攤；打樣則全計入首件
24,WAVE-T02,組裝對位鋼治具,工裝攤提,A/B/C 止口＋銷孔基準,1 套,0.1,套,自製,400,700,1200,治具總價約 4–12k，按 10 件攤

小計,,,,,,,,,15590,23565,34640,NT$ 單椅材料+工裝攤提
