id,role,file,title
1,02,B02_01_Furniture_Design.txt,Furniture Design
2,02,B02_02_The_Chair_Rethinking_Culture_Body_and_Design.txt,The Chair: Rethinking Culture Body and Design
3,02,B02_03_The_Measure_of_Man_and_Woman.txt,The Measure of Man and Woman
4,02,B02_04_Human_Dimension_and_Interior_Space.txt,Human Dimension and Interior Space
5,02,B02_05_Bodyspace.txt,Bodyspace
6,02,B02_06_The_Design_of_Everyday_Things.txt,The Design of Everyday Things
7,02,B02_07_Universal_Principles_of_Design.txt,Universal Principles of Design
8,02,B02_08_Architecture_Form_Space_and_Order.txt,Architecture: Form Space and Order
9,02,B02_09_Interior_Design_Illustrated.txt,Interior Design Illustrated
10,02,B02_10_The_Art_of_Color.txt,The Art of Color
11,02,B02_11_Interaction_of_Color.txt,Interaction of Color
12,02,B02_12_Principles_of_Form_and_Design.txt,Principles of Form and Design
13,02,B02_13_Sourcebook_of_Modern_Furniture.txt,Sourcebook of Modern Furniture
14,02,B02_14_1000_Chairs.txt,1000 Chairs
15,02,B02_15_A_Taxonomy_of_Office_Chairs.txt,A Taxonomy of Office Chairs
16,02,B02_16_Industrial_Design_A-Z.txt,Industrial Design A-Z
17,02,B02_17_Furniture.txt,Furniture
18,02,B02_18_A_History_of_Interior_Design.txt,A History of Interior Design
19,02,B02_19_Industrial_Design.txt,Industrial Design
20,02,B02_20_The_Nature_and_Art_of_Workmanship.txt,The Nature and Art of Workmanship
21,02,B02_21_The_Nature_and_Aesthetics_of_Design.txt,The Nature and Aesthetics of Design
22,02,B02_22_Less_but_Better.txt,Less but Better
23,02,B02_23_Design_as_Art.txt,Design as Art
24,02,B02_24_How_Designers_Think.txt,How Designers Think
25,02,B02_25_Design_Thinking.txt,Design Thinking
26,02,B02_26_The_Eyes_of_the_Skin.txt,The Eyes of the Skin
27,02,B02_27_In_Praise_of_Shadows.txt,In Praise of Shadows
28,02,B02_28_The_Soul_of_a_Tree.txt,The Soul of a Tree
29,02,B02_29_A_Cabinetmakers_Notebook.txt,A Cabinetmaker's Notebook
30,02,B02_30_The_Language_of_Things.txt,The Language of Things
31,02,B02_31_Objects_of_Desire.txt,Objects of Desire
32,02,B02_32_Design_for_the_Real_World.txt,Design for the Real World
33,02,B02_33_A_Pattern_Language.txt,A Pattern Language
34,02,B02_34_Manufacturing_Processes_for_Design_Professionals.txt,Manufacturing Processes for Design Professionals
35,03,B03_35_Understanding_Wood.txt,Understanding Wood
36,03,B03_36_Identifying_Wood.txt,Identifying Wood
37,03,B03_37_Wood_Handbook_Wood_as_an_Engineering_Material_FP.txt,Wood Handbook Wood as an Engineering Material FPL-GTR-282
38,03,B03_38_Timber_Its_Nature_and_Behaviour.txt,Timber: Its Nature and Behaviour
39,03,B03_39_Mechanics_of_Wood_and_Wood_Composites.txt,Mechanics of Wood and Wood Composites
40,03,B03_40_Principles_of_Wood_Science_and_Technology.txt,Principles of Wood Science and Technology
41,03,B03_41_Science_and_Technology_of_Wood.txt,Science and Technology of Wood
42,03,B03_42_Timber_Structure_Properties_Conversion_and_Use.txt,Timber Structure Properties Conversion and Use
43,03,B03_43_Handbook_of_Wood_Chemistry_and_Wood_Composites.txt,Handbook of Wood Chemistry and Wood Composites
44,03,B03_44_Textbook_of_Product_Engineering_and_Strength_Des.txt,Textbook of Product Engineering and Strength Design of Furniture
